Title,Date of Reviews,Reviews,Star Rating
Raisha Angelica,10-Nov-23,"saya beli e-money dari jam 17.30 sampe skrg jam 19.56 blm masuk juga saldonya, udah saya lampirkan bukti update saldonya CS PRIORITAS PLATINUM bilang kalau itu tidak bisa dijadikan bukti. Lantas saldo 300 ribu saya nyangkut dimana? mohon kejelasannya, krn status di shopee nya sudah selesai namun saya blm menerima saldo e-money. SAYA SANGAT KECEWA TERHADAP RESPON SHOPEE KEPADA SAYA",Diberi rating 1 bintang dari 5 bintang
Mister Lukman,11-Nov-23,"Apk ini kurang sip pelayanannya. Harusnya pembayaran sistem transfer di dulukan pengirimannya dan yang sistem cod belakangan. Pengiriman dalam kota aja lama banget, apk macam apa ini.",Diberi rating 1 bintang dari 5 bintang
Aisyah Alya,25-Nov-23,"Tolong dong , lebih di awasi lagi dan diperketat penjualan onlinenya, masa iya pesanan saya udah dibatalkan masih dikirim dan beda produk, mana harganya diluar itu. Tolong ya untuk toko IASTORE.ID di blokir dari shopee demi kenyamanan pelanggan lain . Jangan main curang dah . Ga ridho lillahita'ala saya. Terimakasih 🙏",Diberi rating 1 bintang dari 5 bintang
Juniadi Lee,5-Nov-23,shopee tidak adil..saya sebagai penjual rugi 2x..uda lah barang yg dikirim rusak krna ekspedisi ..saya rugi 2x..barang rusak dan saya dicharge ongkir cust ..padahal saya sudah pake asuransi shopee tapi alasan shopee msh dlm penyelidikan pihak ekspedisi sampe kpn pun g jelas ..,Diberi rating 1 bintang dari 5 bintang
Mico Comi,19-Nov-23,"Sangat buruk, sekarang sangat sangat lemot parah, sudah saya uninstall terus instal lagi hasil tetap sangat sangat parah lemot, padahal jaringan turbo hp ram 8 in 258 . sungguh mengecewakan 👎 kalau begitu terus saya tidak merekomendasikan kepada orang lain, mohon diperbaiki dan difollow up",Diberi rating 1 bintang dari 5 bintang
pratama eko,17-Nov-23,"Gak jelas sekarang pengeriman SPX, udah beberapa kali pesan barang tidak sampai, udah nunggu tiba2 di batalkan. Lebih enak yang dulu bisa milih opsi pengeriman",Diberi rating 1 bintang dari 5 bintang
XI I_28_Muhammad fariansah,8-Nov-23,"saya tinggal di bali dan barang nya ngk pernah sampe ke alamat tujuan pernah pesen 1 barang lewat estimasi pengiriman akhir nya balik lgi ke penjual, Sekali nya sampe 2 mingguan dan stuck trs di pusat transit terakhir hub plisss lah pelayanan nya shopee di perbaiki",Diberi rating 1 bintang dari 5 bintang
Amalia Dinda Pratiwi,20-Nov-23,"Parah ini aps, sekarang lemot lalu di keterangan nya gratis ongkir pas di co teryata ada ongkir + biaya penanganan juga bikin geleng"". Buat CO sistem COD sekarang susah di Batasin, mau co pakai sistem cod harus nunggu barang sampai dulu baru bisa pakai COD lagi, menurun banget kualitas jadi menyusahkan, di benerin lagi dong sistem nya",Diberi rating 1 bintang dari 5 bintang
Salya Ikan Hias,24-Nov-23,"Tolong bantu beri fitur utk aktif/nonaktifkan jasa kirim SPX di penjual, karna SAYA TIDAK MAU PAKE JASA KIRIM SPX. Sangat merugikan! Di drop di counter terdekat gak boleh, kt nya nanti di pick up kurir. Hub kurir 1/1 gak ada yg balas atau kasih info gimana, sekalinya balas kurir nyelekit, paket tertunda berhari-hari, harusnya cpt dpt duit malah lama. Yg di komplein itu penjual pastinya, bukan Shopeenya, tolong mudahkan kami pake JNE n JNT aja",Diberi rating 1 bintang dari 5 bintang
Yoga Agustin,22-Nov-23,"Bagaimana saya bisa memesan? Kalau alamat lengkap saya tidak bisa dimasukan, mohon developer untuk diperbaiki semua keburukan & kejelekan aplikasi tersebut, agar semua pengguna tidak mengeluh atas kerusakan aplikasi. Terimakasih🙏🏻 Meskipun sudah update ke versi yang terbaru saya masih tidak bisa memasukkan alamat, tolong beri saya solusi developer....",Diberi rating 1 bintang dari 5 bintang
Samsul Bahri,25-Nov-23,Ga ngerti kenapa apa yg namanya prioritas di shopeefood. Jarak saya sama tempat makan lebih deket tp di lewati terus. Ga efektif !!! Buat driver nya bolak balik kasian. Yg harusnya bisa 1 jalan jd muter2 krn opsi prioritas.. DAN MAKANANNYA UDAH GA ANGET PAS SAMPAI !!!!,Diberi rating 1 bintang dari 5 bintang
Ariv Kurniawan,6-Nov-23,tolong jasa kirim SPX Standar nya di hilangkan aja.. lelet kirimnya banget sialan.. mending pakai J&T/Anteraja/sicepat. SPX memang biadab.. kirim paket aja sampe gagal. gimana mau sukses kalo kerja aja males²an,Diberi rating 1 bintang dari 5 bintang
Ariel Syahril,12-Nov-23,"Saya beli paket data di my telkomsel pembayaran via Shoppe sudah 2 bulan paket data blm terproses dan saldo shoppe pay sudah terpotong. Sudah lapor 2x ke cs shoppe nya dan info nya akan di proses pengembalian dana, tapi sudah 2 bulan belum ada juga pengembalian dana nya. Payah sekali proses nya",Diberi rating 1 bintang dari 5 bintang
Mardilla Ica,20-Nov-23,"Wahai admin, mengapa aplikasinya jadi semakin lemot? Sudah update dan jaringan stabil lancar, tapi buka aplikasinya lemot bangettttttttttttttttt dan bikin cukup emosi, segera diperbaiki ya wahai admin, semangat terus Shopee 🙏😇",Diberi rating 1 bintang dari 5 bintang
Eris Kencana,25-Nov-23,Selalu bermasalah dgn pengiriman. Barang lama sekali sampainya. Shopee sudah tidak seperti dulu. Sekarang nunggu pesanan sampai 10 hari lebih. Mudah2an bisa di koreksi. Dan menjadi lebih baik dalam hal pengiriman.,Diberi rating 1 bintang dari 5 bintang
Muhammad Hermansyah,24-Nov-23,"Aplikasi penyimpanan gede, Di dalem aplikasi Mau bayar Tagihan susah karena Berat dan lemot, Aplikasi banyak Video tidak berfaedah, Kebanyakan Menu, bikin lemot di dalem Aplikasi nya, tolong di Betulkan untuk masalah Pembayaran Tagihan terlalu lama Loading nya",Diberi rating 1 bintang dari 5 bintang
Genessya Sihombing,9-Nov-23,"Keterangan diantar ke alamat tujuan.. Sampai pun ngk.. Ending ny paket malah gagal dikirim padahal saya tidak ada terima barang.. dihubungin kurir ny pun tidak ada.. Sampai"" jadi dapat peringatan..",Diberi rating 1 bintang dari 5 bintang
CHANNEL KENDAK KITO,16-Nov-23,"Lama2 aku hapus aplikasi ini masa kirm ke agen Shopee gak bisa lagi COD , harus transfer bank langsung , parah lama2 jadi gak betah mending ke beli ke toko langsung aja lebih parah2 harga ongkirnya gak sesuai dengan barang yang di pesan",Diberi rating 1 bintang dari 5 bintang
Vincent djeremial,20-Nov-23,"Shopee ini memang sialan sudah 3bulan pengajuan refund tiket pesawat nggak juga ada perkembangan. Mau disuruh lupain aja atau gimana itu dana nya yah, BINGUNG kerjanya kyak ga memperhatikan masalah customer",Diberi rating 1 bintang dari 5 bintang
batarung tarung,22-Nov-23,"saya beli barang harga nya 200 ribu lebih langsung pembayaran, pas nunggu paket ternyata barang nya hilang dari kurirnya padahal saya sudah nunggu lama hampir 2 Minggu, pas saya minta duit kembali ternyata gak di terima, hadehhh rugi 200 ribu barang gak ada hadehhh hadehhh",Diberi rating 1 bintang dari 5 bintang
Bayu Krisna,26-Nov-23,Sebaiknya jangan beli paket data disini sangat merugikan beli yg berapa dapat berapa mau komplain tidak bisa ngirim gambar screenshot merugikan sudah ditanya kejelasan nya malah Bulak balik bikin pusing aja... Ini pengalaman saya beli paket data xtra hotrod harian 18gb ya malah dapat cuma 8gb bikin bingung saja beli paket data disini sangat buruk buruk sekali saya kesal.😡😡,Diberi rating 1 bintang dari 5 bintang
Elisa Putri,22-Nov-23,"Shope sekarang udah nggak bisa pesan barang apapun padahal pake nomor baru buat ambil voucher pengguna baru gratis ongkir,kalau mau checkout selalu ada informasi yang naik (M02/D02) kamu telah menggunakan promo ini,tolong diperbaiki lagi aplikasi nya",Diberi rating 1 bintang dari 5 bintang
Yolan Zharul,7-Nov-23,"Untuk opsi pengiriman nya saran saya gak usah pakai shope exspress kalo gak niat ngirimin paketnya min, kan masih banyak ekspedisi lain yang bisa! Saya udah nunggu lama paket saya belum juga antar ke alamat saya, Padahal pesanan saya udah nyampe transit hub terakhir nya udah berhari"" Di Shopee ekspress nya! Untuk opsi pengiriman nya tolong di ganti ke yang lain saja min, gk usah pakai Shopee ekspress lagi!!!!",Diberi rating 1 bintang dari 5 bintang
nikotiana hj,21-Nov-23,"Parah bangeeeet!!! Sudah update malah lemotnya nggak ketulungan, sudah 3 hari sudah banget buka chat, nggak bisa cari barang, lagi dibutuhkan cepat untuk belanja keperluan penting dan mau transfer malah not responding. Sudah komplain via DM akun IG juga, ternyata banyak yang lagi komplain. Paraaaah!!!",Diberi rating 1 bintang dari 5 bintang
Naclo Official,13-Nov-23,"Makin sini shopee makin ngelunjak dan parah 1. Kena biaya penanganan setiap pengguna. sistem memakan RAM dan memory yg besar. 2. Makin mencekik seller, katanya harus bersaing tapi admin malah naik ngelunjak. Jangan mentang mentang toko sebelah udah tutup. Lama lama bakalan pindah kalo mencekik gini. 3. Sistem ekspedisi ambyar, wajib SPX tapi paket gak pernah bener. Kadang penerima mau paket entah karena jarak malah paket dikembalikan ke penjual 👎",Diberi rating 1 bintang dari 5 bintang
Prasasti Nuryani,26-Nov-23,"apakah shoppe lagi ada kendala? Jaringan bagus, apk sudh di update tapi sering banget gambar produk nya gk muncul.. terganggu banget.. mau nangis rasanya.. Tolong lah di perbaiki..",Diberi rating 1 bintang dari 5 bintang
Devi Shintia (Vie),4-Nov-23,"Akun saya kenapa statusnya ada kejanggalan. Terus gratis ongkir juga ga ada, punya teman saya ada semua. Mau belanja aja ribet banget begini. Pusing deh, padahal udah email team shopee.",Diberi rating 1 bintang dari 5 bintang
Zefrije Gopinda,7-Nov-23,"Jelek banget aplikasinya kadang suka keluar sendiri, kadang ngelag padahal sinyal 4G jelek bgt pokoknya suka ngelag, kalo bisa dirubah tu yg sering ngelag kaya hp banyak memori ngelag nya, lebih bagus tiktok shop, tapi udah di hapus syg bgt, aplikasi ini kalau nggak sering ngelag juga bagus, tapi minus nya sering ngelag parah 🌟1",Diberi rating 1 bintang dari 5 bintang
Andi Suasu,20-Nov-23,Untuk apk lumayan lah tapi untuk prosedur yang lain seperti untuk jada kurir sangat mengecewakan aku membeli barang tanggal 15 November 2023 dan estimasi tanggal 19 November 2023 tapi sampai tanggal 20 November 2023 barang tidak sampai dan batal dengan sendirinya dan uangku tidak dikembalikan ke rekeningku malah pakai shopeepay semakin ribet aku aku juga memohon sangat untuk kalian menggunakan otak kalian dan aku anggap uangku bisa menjadi uang saku terakhir kalian semoga sampai disana !!!,Diberi rating 1 bintang dari 5 bintang
ridho bagus hermawan,26-Nov-23,"Buka Aplikasi semakin lama, dan kadang tidak bsa CO, sdh di bersihkan cache serta update Shopee tapi tidak berpengaruh juga. Mohon agar d perbaiki lagi aplikasinya",Diberi rating 1 bintang dari 5 bintang
Dee AD,16-Nov-23,"Baru kali ini saya merasa tidak puas belanja di shopee, paket saya sudah dikirim, status sudah diterima, tapi barang tidak ada, waktu pengiriman jam 21:49, 2 security saya tanya tidak ada yang merasa menerima paket, jadi paketnya diletakkan di mana? Siapa yang menerima? Benar sih harga barangnya tidak seberapa, tapi saya beli karena butuh, apa karena harganya murah jadi seperti disepelekan? Tolong tindak lanjuti untuk jasa pengiriman SPX standart, terima kasih",Diberi rating 1 bintang dari 5 bintang
Arief Eko,12-Nov-23,"Makin hari makin kesana shopee ini cooo, akunku di bekukan padahal saya ini pembeli dan saya gk punya toko. Bisa bisanya di bekukan karna menjual barang terlarang.. Sudah hubungi CS ke 4x nya mental semua suruh ajukan banding tpi isi suratnya menyalahkan konsumen yang jelas-jelas tidak menjual barang sama sekali. Murni cuma pembeli. Jujur min saya tmbah kecewa. Aplikasi bagus kenak kebijakannya tolol, harus di pahami banding itu apa bukan menyalahkan 1 pihak alias customer",Diberi rating 1 bintang dari 5 bintang
Riri Suhadi,5-Nov-23,Sekarang Sangat2 Sulit sekali buat masuk ke Aplikasi ini Mau Belanja tapi masuk dan buka Aplikasi nya aja susah bgt Tolong di tinjau dan di perbaiki lgi Aplikasi nya Sebelum nya nyaman2 aja kok gak ada kesulitan untuk buka dan masuk ke Shopee,Diberi rating 1 bintang dari 5 bintang
kartikakids 19,4-Nov-23,"Saya kasih bintang satu karena menyulitkan bagi penjual, tidak bisa milih pakai ekspedisi mana aja, sedang kalo pakek ekspedisi SPX (shopee Xpres) harus diantar kekantornya dan kalo ada retur harus diambil sendiri, sedangkan jarak kantornya sama storenya lumayan jauh juga. Harapannya segera perbarui lagi sistemnya. Terimakasih.",Diberi rating 1 bintang dari 5 bintang
Scara Sarewae,19-Nov-23,"Lama bnget pengiriman ny pdhal udh lewat estimasi waktu ny trus sering Terjadi kendala sinyal seperti tidak bisa masuk ke aplikasi,trus pdhl seharian di rumah ga keluar kok tulisan ny pengiriman paket gagal dikarenakan pembeli tidak dapat dihubungi knp ya?",Diberi rating 1 bintang dari 5 bintang
Sunariadi Sunariadi,23-Nov-23,"Sekarang proses pembayaran shope di persulit, dulu pakai briva sangat mudah,saat ini pakai shope pay, sangat menyulitkan proses pembayaran, skrng kukasih bintang 1 saja cukup,kembali kan pembayaran pakai BRIVA seperti dulu akan ku kasih bintang 5 lagi",Diberi rating 1 bintang dari 5 bintang
herman sejuk,14-Nov-23,"Kecewa ganti hp susah masuk. Harus kirim otp lewat wa atau sms tapi gak di kirim"" males gua harus bikon lagi akin baru dan yg old hilang gitu aja. Padahal emal aktifkan wa aktifkan pas OTP gak di kirim"" sampe bacan terlalu sering dan di ben kaya gitu, gak jelas",Diberi rating 1 bintang dari 5 bintang
Barok B,15-Nov-23,"Assalamualaikum warohmatullahi wabarokatuh , Allahumma sholli alaa sayyidinaa muhammad , kepada developer shopee yang saya hormati dan tidak lupa juga kepada tim shopee yang saya banggakan langsung saja disini saya hanya ingin memceritakan pengalam saya sebagai pengguna aplikasi shopee jadi selama saya mengaplikasi kan kok semakin di perbarui kok Aplikasinya makin lemotya, kirain hp saya ( iphone 14 pro max ) yang lemot . Ayooo dong di perbaiki lagi peformanya jujur kecawa banget . Saya harap se",Diberi rating 1 bintang dari 5 bintang
Dapur Vonche,27-Nov-23,Sebetulnya suka banget sama Shopee tp semenjak byk iklan yg muncul itu ganggu banget... Kan bs dgn cara lain yaa... Klo muncul2 mending aku uninstal aja stop Shopee masih ada aplikasi lain,Diberi rating 1 bintang dari 5 bintang
Gusty Budiman,19-Nov-23,"Barang sdh di bayar tapi barang blm sampai di tempat tujuan, Sangat mengecewakan. Sy kwartir sama kurir2 terutama kurir SPX express yg bilang pengiriman gagal pada hal meraka gak sampai tempat tujuan. Dari pihak Shopee juga jangan hanya buat iklan yg banyak di media sosial kerjaan gak beres",Diberi rating 1 bintang dari 5 bintang
Enny Kadarwati,15-Nov-23,"Pelayanan cs shopee buruk. Dari tgl 13/11-15/11, saya sdh ajukan pengembalian dana krn brg pembelian ada yg kurang, masih belum dikembalikan. Padahal dari pihak penjual juga sudah ajukan. Buruk banget..",Diberi rating 1 bintang dari 5 bintang
Ayunda Azalea,31 Oktober 2023,Saya tarik bintang 5 nya karena shopee express sangat mengecewakan. Bisa bisanya dalam waktu yg sama dengan akun berbeda 2 paket ga tau kemana rimbanya. 1 dinyatakan hilang 1 dibatalkan otomatis karen telat 12 hari dari estimasi belum juga dikirim. Setelah paket terakhir saya sampe saya uninstall app ini. Thanks sudah bikin trauma.,Diberi rating 1 bintang dari 5 bintang
dadan rohmana,7-Nov-23,"Hilangkan fitur shopee video, sangat tidak membantu., sangat mengganggu, bintang saya rubah setelah fitur shopee video di hilangkan. Terima kasih.",Diberi rating 1 bintang dari 5 bintang
Idda Nila,12-Nov-23,"Maaf ini aplikasinya knp ya , jaringan saya stabil dan kuat . Tapi selalu telat notifikasinya, hasilnya saya telat bls chat customer. Tolong perbaiki lagi",Diberi rating 1 bintang dari 5 bintang
noval syaputra,11-Nov-23,"Shopee sekarang makin ke sini makin ga jelas, sinyal bagus yt an pake resolusi 1080 masih ok lancar buka shopee lemot nya ga ketulungan, tolong dong klo update masalah jaringan shopee nya d perbaiki jangn apk nya aja yang d update tpi jaringan masih lemot lama2 mnding pindah apk sebelah aja klo gini terus",Diberi rating 1 bintang dari 5 bintang
Al Bar,21-Nov-23,"Sy rubah k bintang 1 krn sering di buat kecewa sm kurir shope yang gak jelas bahkan kita di suruh ambil paket jauh dr rumah gak mau anter k lokasi. Pengiriman sering sekali molor, pesanan penting mau di pakai tp pengiriman gagal dan d undur-undur terus. Kecewa sm pengirimannya gak kaya toko sebelah kalau tidak mau kalah saing perbaiki.",Diberi rating 1 bintang dari 5 bintang
SHOLEKHAH SHOLJUN,15-Nov-23,"Capek sama shopee, selalu di hapus terus produk jual flashdisk game ps2 nya, tetapi masih ada penyelamat lazada dan tokopedia yang tidak terlalu agresif, shopee terlalu berlebihan. Padahal tidak ada yang saling menuntut atau merugikan orang lain. Itu pun bukan penipuan juga padahal dapat membantu bagi yang masih punya console ps2, ini aja saya buat paket. tidak jual pergame, saya jual flashdisk yang sudah di isi game sampe full . Kan aneh banget udah dapat bintang banyak malah di hapus lagi.",Diberi rating 1 bintang dari 5 bintang
Feng Lin,23-Nov-23,"Shopee sekarang berat padahal pakai hp baru dan dan kapasitas penyimpanan masih banyak tapi banyak bug dan leg bahkan lebih parah macet, tolong di perbaiki terlalu besar shopee sekarang dan hp versi barupun masih gak kuat",Diberi rating 1 bintang dari 5 bintang
Sara Fransiska87,19-Nov-23,Parah Shopee masa orang udah bayar tapi tagihannya masih saja dimunculkan. Saya jelas2 dah kasih bukti pembayaran pelunasannya tapi tetap aja masih saja masih ditagih2. Hati2 pada aplikasi ini. Penagih nya banyak tapi gak jelas nanti kita sudah byar tapi malah dibilang kita belum bayar.!!!,Diberi rating 1 bintang dari 5 bintang
Cha cha,12-Nov-23,"Semakin ga jelas, dan kurang ajar. Setelah diupdate malah banyak iklan produk dewasa. Amat sangat tidak relevan dengan produk yang saya cari dan pernah dibeli. Tolong diperbaiki. Soalnya ini bener-bener ganggu bgt. Risih!!",Diberi rating 1 bintang dari 5 bintang
ony HN,27-Nov-23,"Tolong ni aplikasi di benahi lemot kali jadi aplikasi jaringan bagus pun lelet kali , timbang aplikasi onlineshop lain ni aplikasi yang paling lelet , tolong di perbaiki jangan bikin, aplikasi aja ternama , lelet nya mintak ampun 😏😏",Diberi rating 1 bintang dari 5 bintang
Faisal 02,14-Nov-23,"Kecewa berat sama shope,mau chek out malah gabisa,malah nongol kamu telah menggunakan promo ini, sedangkan saya belum pernah chek out sebelum nya,mohon di perbaiki ya!!!",Diberi rating 1 bintang dari 5 bintang
Putri Mayasari,26-Nov-23,"Paket ku di return tanpa ada informasi dulu sama SPX express nya 😒, barang juga sudah banyak yg datang tp tidak ada info nya, cuma dapat kabar di return dong hadeh, di expedisi lain aman aja cuma hmmm dah lah",Diberi rating 1 bintang dari 5 bintang
Titi aprilya,21-Nov-23,"Sengaja cekout 11.11 biar dpt promo, tapi sayang lupa ganti ekspedisi dr SPX ke JNT..alhasil brg tdk tiba malah di batalkan sepihak dr pihak shopee, sdh nunggu lama jg. Brgnya mau di pake, mengecewakan.. trauma pakai SPX, lbh cepat JNT Hemat. Pdahal sudah pakai SPX Reguler biar cepat, malah di kasi lewat jalur laut. Komplaim ke CS SPX jawaban template, gk guna",Diberi rating 1 bintang dari 5 bintang
Kiki Redminote7,24-Nov-23,"Maaf kalo rating 1. Krn app shopee lemot banget nget nget. Kirain hp sy yg lemot, ternyata mmg aplikasinya yg lemot. Tolonglah pihak shopee diperbaiki seperti app sebelah yg lancar jaya..",Diberi rating 1 bintang dari 5 bintang
Yunus Ayub,24-Nov-23,"Setelah aku buat ratting ini, aku segera menghapus aplikasinya. Kcwa berat sya dgn aplikasi Shopee ini skrg sdh nggak kyk dulu lagi. Sudah 2x berturut-turut saya pesan barang yg sama, tapi tetap kasusnya sama juga. Pengiriman selalu gagal. Yg terakhir ini sya sudah menunggu hampir sebulan, tadi sudah ada pembaharuan katanya ""pesanan mu sdh smpai di kita tujuan dan akan segera dikirimkan"" eh malah tiba² lagi tadi ada pemberitahuan kalo bakal dikembalikan karena melewati batas wktu pengiriman 🤦‍♂",Diberi rating 1 bintang dari 5 bintang
Ahmad Stefani,27-Nov-23,Untuk belanja pake free ongkir makin ribet pembayarannya. Ga kaya sebelumnya bisa pembayaran Via transfer semua bank. Ribet Pokonya Ribet!!,Diberi rating 1 bintang dari 5 bintang
Nia Tsaniya,16-Nov-23,Maaf aku rubah bintangnya. Soal makin kesini makin pelit bonus koinnya. Dulu seneng bngtt sama aplikasi ini. Bonus gratis ongkir jg makin susah. Mana ongkirnya makin mahal.... Terus sering lemot jg.,Diberi rating 1 bintang dari 5 bintang
okky derliana,15-Nov-23,"Pengiriman reguler via shopee, alemong lama nya dah kayak perjalanan keluar negri dulu tuh paket laaaamaaaaaaa bgt, percuma gw bayar xtra klo reguler bisa 10 hari. Coba deh pengiriman sekarang ada pilihannya kyk dulu mau via jnt JNE lagi, sumpah skrg belanja ga excited lagi kelamongan di jalan kering penyok2 barang nya.",Diberi rating 1 bintang dari 5 bintang
devi ariyanto,18-Nov-23,"Saya sangat kecewa, saya sudah pesan barang melalui shopee, sudah saya bayar barang tersebut berhasil melalui M banking tetapi pesanan saya masih belum terverifikasi/belum bayar,.",Diberi rating 1 bintang dari 5 bintang
suryadi adit,24-Nov-23,Sangat kecewa belanja di shopee pelayanan yg lelet...pengembalian dana terlalu ribet..padahal dari penjual sudah menyatakan pengembalian dana..penjual sudah setuju..barang juga sudah sampai...tapi 2x24 jam dana saya belum juga kembali..alasan lagi ditinjau team shopee kali ini saya kecewa banget belanja dishopee urusan nya sngat ribet kalau cod...bagi pembeli jadi pelajaran..jgn mau lah byar dulu..harus cek dulu brngnya..jika tidak...urusan pengmbalian dana..ribet..saya udh 11 hari blm jg kmbli,Diberi rating 1 bintang dari 5 bintang
jean rooz,9-Nov-23,"ONGKIRnya naik drastis, jadi tidak bisa dapat gratis ongkir full. Percuma juga member PLATINUM gak ada manfaatnya. Sekarang lagi coba2 CO di marketplace lain yg ada gratis ongkirnya.",Diberi rating 1 bintang dari 5 bintang
Lasli Situmorang (Ali Siringo-ringo),19-Nov-23,"Buat Adminnya Aplikasi Shopee ini, maaf ya dengan berat hati dan sangat terpaksa sekali bintangnya kuturunin / kurangi karna Aplikasi Shopeenya tidak bisa berjalan Normal terutama ketika Saya hendak menjelajahi halaman Akun Saya. Entah kenapa Aplikasi selalu kembali kehalaman siaga Android Saya, dan selalu begitu terus menerus sampai Saya jenuh karena sudah berulang-ulang kali Saya coba membuka halaman tersebut selalu dan selalu saja keluar dari Aplikasi tanpa Saya tahu disebabkan karena apa..😏",Diberi rating 1 bintang dari 5 bintang
Cha Cha,11-Nov-23,"Diperbarui jadi tidak bisa CO. Liat live juga tidak bisa. Jaringan tidak tersedia terus. Capek bgt. Udah di hapus cache sama aja! Lemot parah. Bikin kesel, CO betul2 nggak bisa. Mohon diperbaiki segera!!",Diberi rating 1 bintang dari 5 bintang
Dhany F,22-Nov-23,Maaf turun ke bintang 1. Soalnya masuk ke akun pribadi saya tidak bisa. Harus verivikasi wajah. Dann itupun tidak berhasil walaupun di ulangi beberapa kali. Sudah komplain minta bantuan ke CS tapi slow respon dan berbelit-belit.,Diberi rating 1 bintang dari 5 bintang
Bahtiar Andromeda,25-Nov-23,"Tolong dengan sangat hormat agar pihak Shopee meninjau ulang terkait penggunaan jasa kirim Shopee Express yang sangat jauh dari ekspektasi,barang sudah sampai di Hub Terakhir tapi sampai 3 hari belum ada pengantaran ke tempat tujuan,barang juga tidak bisa diambil sendiri,ini adalah jasa kirim terburuk!",Diberi rating 1 bintang dari 5 bintang
Suryani Fane,17-Nov-23,Saya sudah lama pake Shopee menurut saya Shopee paling terbaik tp kali ini saya sangat kecewa karna Shopee pake ekspedisi utama yaitu SPX waktu itu saya bingung kok knp saya ga bisa pake j&t ternyata Shopee sudh sediakan SpX yg lemot dan menjengkelkan itu masa paket saya sudh sampe di tempat tinggal saya ga di antar malah di kembalikan ke penjual dan yg lebih ngeselin pihak kurirnya kalau di tanya knp jwbnya pake kapal laut saya heran paket saya isinya HP kok pake kapal laut sangat kecewa,Diberi rating 1 bintang dari 5 bintang
Julis Tiani,26-Nov-23,"Bukan sekali atau dua x seperti ni,sudah sering pengiriman selalu tidak sampai ke alamat dan di batal kan sebelah pihak,kurir nya pun tidak pernah sampai ke alamat,jg tidak mau menghubungi atau nelpon konsumen,pihak shoppe mengatakan jika cod nya batal tiga x malah di non aktif kan cod nya,padahal sama sekali kurir nya GK pernah hbgi/call atau DTG ke alamat penerima,gimana konsumen mau belanja ke aplikasi shoppe",Diberi rating 1 bintang dari 5 bintang
Eva Setiawati,16-Nov-23,"Shopee makin kesini makin gk bersahabat, susah banget dapet gratis ongkir mana biaya penanganan mahal banget.... Makin pengen buru2 tiktok shop ada lagi dah asli, kalo gratis ongkir bener2 jadi 0 rupiah tanpa embel2 apa2 lagi",Diberi rating 1 bintang dari 5 bintang
Siti Rochmah,10-Nov-23,tolong dong jangan selalu memblokir shopee vidio seenaknya .. padahal sudah melakukan sesuai panduan .. kenapa semenjak TikTok tutup kebijakan shopee menjadi terlalu bobrok .. dulu sangat gampang dan sangat mudah .. nggak ada pemblokiran sebanyak apapun kita aploud .. sekaran aploud lebih dari 5 sudah termasuk spaming .. nggak layak lagi untuk di gunakan... setahun yg lalu shopee masih enjoy enjoy saja.,Diberi rating 1 bintang dari 5 bintang
Jefri NR,20-Nov-23,"Tobat make shopee, 1. iklan yang ngak jelas selalu muncul, 2 promo gratis ongkir sama aja bohong,pas cekout kenak ongkir juga padahal lokasi di kota, 2 pas dapat voucer dan diskon dipakai cekout pas pembayaran selalu alasan gagal koneksi, mending ku pindah ke toped aja lg",Diberi rating 1 bintang dari 5 bintang
Fajrina Mulyani Siregar,14-Nov-23,aplikasi lemot dan sistemnya kurang bagus saat menggunakan shopeefood gatau error atau apa tiba tiba lemot saat proses checkout blum masukin voucer dll tau tau pesanan sudah diterima pihak resto pas tekan batalkan pesanan g bisa karena lemotnya sangat lama sampe pada akhirnya pesanan tidak bisa dibatalkan yang tadinya mau refreshing mood dgn makanan malah dibikin kesel dgn kelemotan berujung rugi,Diberi rating 1 bintang dari 5 bintang
David Alexander Pardede,6-Nov-23,"Tolong tutup layanan pengiriman SPX, saya sudah sangat muak dengan layanan pengiriman ini. Karena saya tau layanan SPX ini sangat buruk saya sengaja menggunakan SPX sameday agar lebih cepat, dan pengiriman barang masih dalam satu kota yg sama, tapi barang malah sampai setelah 7 hari. TOLONG TUTUP LAYANAN SPX MAKA BINTANG AKAN SAYA GANTI JADI BINTANG 5",Diberi rating 1 bintang dari 5 bintang
Erl's,6-Nov-23,"App sebelumnya saya hapus,karena sudah 2kali pengiriman gagal dengan alasan penerima tidak ada ditempat,padahal saya dirumah terus.kan kasihan dagangnya.ini saya coba download lagi dan coba pesan kalo masih gagal diblacklist deh.",Diberi rating 1 bintang dari 5 bintang
Eppa Eppo,14-Nov-23,"Semakin kesini semakin kecewa gara"" pengirimannya, hanya ada SPX, sementara SPX BENER"" LEMOTTTTT. pemberitahuan paket diantar dari pagi sampe malam pun belom terkirim sampe ganti hari berikutnya, mohon diperbarui agar bisa dapat memilih ekspedisi seperti dulu biar gak mengecewakan.",Diberi rating 1 bintang dari 5 bintang
BlajR Blajar,7-Nov-23,"pada menu pencarian tambahin fitur filter pencarian barang baru/bekas kak, soalnya saya kadang susah kalau nyari barang second...seperti Marketplace lain... Terima kasih",Diberi rating 1 bintang dari 5 bintang
