Title,Date of Reviews,Reviews,Star Rating
Ummufra Hazimah,11-Nov-23,"Makin lambat,, buka aplikasi ga bisa terlihat gambar nya harus nunggu sampai lama.. Bnyk wkt terbuang, padahal mau belanja buru2.. Dan ketika selesai belanja biasanya sy langsung cepat2 ganti pilihan ekspedisi krn kalau pakai spx takut lama nympe nya,, skrg jd sulit utk ganti ekspedisi (klik tulisan di kemas lalu ganti ekspedisi) Karena lemot banget...",Diberi rating 1 bintang dari 5 bintang
Yuni Mawarni,12 Oktober 2023,Udah males belanja di shoope sekarang. Gak bisa pilih ekspedisi nya kayak dulu. Sudah ditentukan shoppe. Sudah kecewa berkali kali dengan ekspedisi tersebut😒barang gak sampe gagal pengiriman terus. Setelah itu barang nya langsung di returkan. Kurir nya di chat malah gak di respon. Pelayanan ekspedisi tersebut gak bagus.,Diberi rating 1 bintang dari 5 bintang
Muhammad Hafidz,20 Oktober 2023,"Aplikasi lemot bahkan ngereset sendiri, udah nulis deskripsi panjang-panjang ehhh malah hilang alhasil nulis ulang. Aplikasi berat padahal sinyal bagus dan hp juga support. Pake aplikasi yang lebih berat aja masih normal, Masa pake aplikasi ini lelet.",Diberi rating 1 bintang dari 5 bintang
Lukman,10-Sep-23,"Suka muncul iklan yang langsung ke aplikasi. Ketika ditutup, malah web sebelumnya ter-back. Masih mending liat produk yang di x, kalau menarik pun bakal dibeli. Kalau suka muncul kayak begini malah jadi risih, sampe kepikiran mau uninstall aja.",Diberi rating 1 bintang dari 5 bintang
Silviselviana,27-Nov-23,Aplikasinya lemot banget Kupikir karna masalah hp atau jaringan tapi pas buka aplikasi yang lain lancar2 aja tuh gak ada masalah. Buat menghubungkan ke akun sosmed juga susah dan gak bisa terus pdahal gak ada kesalahan sm akun sosmednya. Aplikasinya juga berat bgt jadi boros sama penggunaan batre. Padahal brang2 yg di jual di sini pd bagus2 sayang bgt. Semoga shopee bisa lebih baik lgi deh,Diberi rating 1 bintang dari 5 bintang
Errina Prida,25-Nov-23,"Ni aplikasi kok lemot banget, banyak yang ngeluh masalah ini loh. Emang gada cara lain selain bersihin cache? Harusnya ada dong solusi lain, ini namanya ribet. Harus hapus cache segala jadi nggak nyaman untuk pengguna.",Diberi rating 1 bintang dari 5 bintang
Alifa Zahra,27-Nov-23,Aplikasi sama pengirimannya sama-sama bikin kecewa. Di aplikasi udah 3x keterangan sedang diantar ke alamat tapi ga sampai-sampai paketnya. Cs dihubungin juga ngasih jawaban yang berulang bahkan ga bisa nyelesaiin masalah. Saran aja nih kalau kurirnya kerjanya ga sesuai pecat aja soalnya yang dirugiin juga custumer udah nunggu lama eh taunya malah dibatalin tu pesanan karna gak diantar-antar.,Diberi rating 1 bintang dari 5 bintang
Muhammad Nuryasin,27-Nov-23,"Pengiriman reguler dan hemat kurang lebih aja, mending ambil hemat, reguler nya udah hampir seminggu baru sampe barang nya, mending ambil hemat yang waktunya kurang lebih, gk mau tau, pokoknya bintang 1, udah seminggu itu paket gada datang",Diberi rating 1 bintang dari 5 bintang
Dinna Arifiani,26-Nov-23,"Saya mendapatkan email Shopee sudah lama tidak mendengar kabarmu. Akunmu akan dihapus pada 23/02/2024. Jika kamu ingin tetap menggunakan akunmu, log in ke Shopee maksimal pada tanggal 23/02/2024 untuk mengaktifkan kembali akunmu. PADAHAL Saya pake App ini hampir setiap hari. Pembelian terakhir saya tgl 23/11/2023 dan masih ada yg proses pengantaran. Bagaimana bisa akun sya akan dihapus?? 👎👎👎👎",Diberi rating 1 bintang dari 5 bintang
Lontoh Agung,27-Nov-23,"Makin kesini apk nya jadi makin kurang bagus , biarpun jaringannya udah bagus tetep aja apk nya yg lemot , udh gitu gambarnya lama banget GK kebuka , mohon di perbaikan lgi apk shopee nya 🙏",Diberi rating 1 bintang dari 5 bintang
